body_type,sex,diet,shower_freq,heat_energy_source,transport,vehicle_type,social,monthly_grocery_bill,air_travel_freq,vehicle_km,waste_bag_size,waste_bag_count,tv_daily_time,monthly_clothes,internet_daily_time,energy_eff,recycling,cooking_with,CarbonEmission
normal,female,omnivore,daily,electricity,private,electric,sometimes,108,rarely,9181,large,7,14.1764818,13,17.35907825,Yes,[],"['Stove', 'Microwave', 'Grill', 'Airfryer']",1539
obese,male,omnivore,twice a day,natural gas,private,diesel,sometimes,238,never,2959,large,1,22.06325405,30,18.72865346,Yes,['Glass'],['Stove'],2769
underweight,male,omnivore,twice a day,electricity,walk/bicycle,,sometimes,161,rarely,41,extra large,4,2.388878688,13,15.78609528,Yes,"['Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1476
overweight,male,pescatarian,twice a day,wood,public,,never,276,never,1164,small,7,6.059888564,40,3.956516406,Sometimes,"['Paper', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1712
obese,male,omnivore,more frequently,natural gas,public,,often,87,rarely,1970,small,7,21.81142338,10,5.914974288,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1536
normal,male,vegan,twice a day,coal,private,petrol,often,119,very frequently,9425,medium,7,2.60545137,36,1.2569562,No,['Paper'],['Oven'],6719
normal,female,pescatarian,twice a day,natural gas,walk/bicycle,,never,297,frequently,13,large,2,11.8448195,48,0.84292755,No,['Glass'],"['Stove', 'Grill', 'Airfryer']",2138
overweight,male,pescatarian,twice a day,wood,private,hybrid,sometimes,108,frequently,500,extra large,3,22.99549102,11,15.14294703,No,"['Paper', 'Glass', 'Metal']",['Microwave'],1808
obese,female,vegan,daily,electricity,private,electric,often,264,very frequently,3302,extra large,6,12.71641812,40,16.17735558,Sometimes,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave']",3274
underweight,female,vegan,twice a day,electricity,public,,never,220,rarely,1339,large,5,23.01929473,48,5.218038021,Yes,"['Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",1526
underweight,male,omnivore,less frequently,wood,public,,never,258,very frequently,286,small,3,21.42258763,22,23.30170321,Yes,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave']",2319
obese,male,omnivore,daily,coal,walk/bicycle,,never,55,rarely,22,extra large,2,18.66677078,23,2.699725172,No,['Glass'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2038
overweight,male,omnivore,more frequently,natural gas,walk/bicycle,,sometimes,264,never,6,small,1,1.85434828,30,1.596910281,Yes,['Glass'],"['Stove', 'Grill', 'Airfryer']",1612
underweight,female,vegan,daily,natural gas,private,hybrid,never,145,very frequently,645,extra large,4,9.329715336,17,3.496909375,Sometimes,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2124
normal,male,omnivore,twice a day,electricity,walk/bicycle,,never,271,never,59,large,7,15.04756289,3,22.90518049,Yes,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",1352
overweight,female,omnivore,less frequently,electricity,private,petrol,sometimes,123,rarely,9187,large,6,5.267781535,40,4.145890793,Yes,[],"['Microwave', 'Grill', 'Airfryer']",4973
normal,female,vegan,daily,coal,private,lpg,never,199,never,4022,extra large,6,5.824405643,8,14.34470757,Sometimes,['Plastic'],"['Stove', 'Oven', 'Grill', 'Airfryer']",2552
overweight,female,pescatarian,daily,natural gas,walk/bicycle,,sometimes,53,rarely,31,small,7,23.74141814,38,10.26036873,No,[],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1728
overweight,female,omnivore,daily,electricity,public,,sometimes,73,very frequently,1098,extra large,6,0.558906139,2,16.11570299,Sometimes,[],"['Stove', 'Microwave', 'Grill', 'Airfryer']",2780
overweight,female,vegan,less frequently,natural gas,walk/bicycle,,never,166,never,31,small,5,2.290552049,14,10.1365663,Yes,['Glass'],"['Stove', 'Oven']",947
overweight,male,omnivore,twice a day,natural gas,public,,often,276,very frequently,1910,small,7,12.38361596,8,3.313704263,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",2927
underweight,male,vegan,more frequently,wood,walk/bicycle,,never,64,very frequently,94,small,7,5.663097748,48,19.20935804,Yes,['Plastic'],"['Stove', 'Oven', 'Grill', 'Airfryer']",2628
normal,female,omnivore,more frequently,coal,walk/bicycle,,sometimes,246,very frequently,46,large,6,6.282338473,38,20.48982411,No,['Metal'],"['Oven', 'Grill', 'Airfryer']",3017
normal,male,pescatarian,daily,natural gas,private,lpg,never,117,rarely,5934,extra large,3,23.62896967,12,13.40425332,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2898
normal,female,omnivore,more frequently,wood,walk/bicycle,,sometimes,137,very frequently,3,medium,6,8.301234122,23,22.62171279,No,['Metal'],"['Stove', 'Oven']",2462
obese,male,vegetarian,less frequently,natural gas,public,,never,190,rarely,1930,large,5,8.637161962,12,4.221218656,Sometimes,['Metal'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",1875
obese,male,vegetarian,twice a day,wood,public,,never,184,rarely,1159,small,4,10.60728006,23,20.50072621,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",[],1151
overweight,female,pescatarian,less frequently,wood,walk/bicycle,,often,163,rarely,25,extra large,6,18.97697257,38,13.83993999,Yes,[],"['Stove', 'Microwave']",2305
normal,male,pescatarian,twice a day,wood,public,,often,166,rarely,459,small,5,9.806987694,2,4.799438455,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",1250
normal,female,vegan,twice a day,coal,public,,never,229,very frequently,466,extra large,3,1.252303935,47,2.264428199,Sometimes,['Glass'],['Microwave'],2790
underweight,male,vegan,less frequently,natural gas,walk/bicycle,,often,278,very frequently,28,medium,4,11.25584865,47,20.73922244,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Microwave']",2792
normal,female,vegetarian,more frequently,coal,private,petrol,often,243,rarely,1060,medium,3,7.314873563,32,1.250095419,Sometimes,"['Plastic', 'Glass', 'Metal']",['Stove'],1852
underweight,male,pescatarian,twice a day,natural gas,private,diesel,never,202,rarely,9999,extra large,1,4.155424966,13,17.1591525,No,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",3396
underweight,female,vegan,less frequently,coal,private,hybrid,never,50,never,8636,extra large,1,4.862736209,7,1.612923172,Yes,"['Plastic', 'Metal']","['Oven', 'Grill', 'Airfryer']",1910
normal,male,omnivore,more frequently,natural gas,private,hybrid,often,221,rarely,9695,extra large,4,15.23341139,43,7.50545676,Sometimes,['Paper'],['Stove'],3886
overweight,male,vegan,less frequently,electricity,public,,sometimes,295,frequently,1037,large,7,21.24581444,8,5.794708922,Sometimes,"['Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2342
normal,female,vegetarian,less frequently,electricity,public,,never,135,frequently,1215,small,7,7.170444201,43,10.42369865,Sometimes,"['Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1660
overweight,male,vegetarian,less frequently,natural gas,public,,never,233,never,590,large,7,13.09619905,20,8.630422368,No,"['Paper', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1552
underweight,female,pescatarian,less frequently,electricity,walk/bicycle,,sometimes,173,never,87,small,2,8.450643256,50,0.969870907,No,"['Paper', 'Plastic', 'Glass']","['Grill', 'Airfryer']",879
obese,female,pescatarian,less frequently,wood,public,,often,159,frequently,972,large,6,1.259933998,24,22.46499977,Yes,"['Paper', 'Glass']","['Oven', 'Microwave']",2497
overweight,male,pescatarian,less frequently,coal,private,electric,never,74,very frequently,9208,medium,7,13.55877818,42,7.227058165,Yes,"['Paper', 'Plastic']","['Grill', 'Airfryer']",3294
overweight,male,vegetarian,less frequently,natural gas,private,electric,sometimes,258,never,2237,large,3,15.80103261,13,14.47606587,No,"['Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1341
normal,male,pescatarian,less frequently,natural gas,private,lpg,never,214,very frequently,4550,extra large,2,16.39032493,40,16.18691651,Sometimes,[],"['Microwave', 'Grill', 'Airfryer']",4028
obese,female,omnivore,more frequently,coal,private,petrol,never,151,frequently,102,extra large,2,14.56282219,18,4.77489659,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1995
normal,male,vegan,daily,coal,private,electric,sometimes,112,rarely,4866,extra large,1,3.053704771,16,5.336880455,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",1286
underweight,female,pescatarian,less frequently,electricity,public,,never,256,never,883,extra large,5,4.220645908,28,20.78543121,No,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1367
overweight,female,vegetarian,daily,electricity,walk/bicycle,,sometimes,133,rarely,85,medium,7,13.72630951,18,7.125919474,No,['Metal'],"['Oven', 'Grill', 'Airfryer']",1345
overweight,male,omnivore,daily,natural gas,private,petrol,often,166,very frequently,9461,small,2,11.74255846,48,0.719271686,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",6655
overweight,male,pescatarian,daily,coal,private,diesel,often,295,frequently,614,large,2,9.918936357,47,0.323247358,Yes,['Plastic'],"['Grill', 'Airfryer']",3309
overweight,female,vegetarian,less frequently,natural gas,public,,never,110,never,813,small,2,15.55737526,10,6.886996227,Sometimes,"['Glass', 'Metal']",['Oven'],631
obese,male,vegetarian,daily,electricity,walk/bicycle,,sometimes,81,rarely,44,extra large,6,3.96025507,36,17.03240367,Sometimes,"['Plastic', 'Glass']","['Stove', 'Microwave']",2290
normal,male,vegetarian,less frequently,coal,public,,sometimes,55,frequently,45,extra large,7,5.032052411,44,8.783679241,Yes,['Paper'],"['Oven', 'Grill', 'Airfryer']",3034
obese,male,pescatarian,twice a day,natural gas,public,,often,295,frequently,663,extra large,6,6.541847934,15,11.56860701,Yes,"['Paper', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",3163
normal,male,omnivore,more frequently,wood,walk/bicycle,,often,66,very frequently,73,small,3,1.345171535,9,2.942771733,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1901
overweight,female,vegan,twice a day,wood,private,hybrid,often,89,frequently,9760,large,2,20.13966964,27,3.336406796,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']",3074
obese,female,pescatarian,less frequently,natural gas,public,,never,137,very frequently,1422,extra large,5,5.175804534,36,2.10687548,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave']",3184
obese,male,vegan,more frequently,electricity,private,electric,never,268,frequently,868,extra large,3,7.710900427,41,13.601461,Sometimes,['Paper'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",2358
normal,male,vegan,twice a day,wood,public,,sometimes,151,frequently,1667,extra large,4,21.34647939,44,2.545520063,No,['Plastic'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",2821
underweight,female,omnivore,twice a day,natural gas,private,petrol,sometimes,65,rarely,4965,extra large,3,5.181942859,12,16.6755188,Sometimes,[],"['Stove', 'Oven']",2694
underweight,male,omnivore,more frequently,coal,private,petrol,sometimes,148,frequently,4888,medium,6,9.740882319,1,5.677630755,No,"['Paper', 'Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",3564
obese,female,omnivore,twice a day,electricity,private,diesel,often,257,rarely,8012,large,7,5.383913009,7,6.801775674,Yes,"['Glass', 'Metal']","['Stove', 'Microwave']",3983
overweight,male,pescatarian,less frequently,electricity,walk/bicycle,,never,196,rarely,25,large,1,23.16078784,3,9.05664284,Yes,"['Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",812
obese,female,pescatarian,twice a day,wood,walk/bicycle,,never,120,rarely,4,small,2,18.73434408,14,19.40516927,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",['Oven'],817
normal,female,omnivore,twice a day,natural gas,public,,often,245,very frequently,1712,medium,1,22.61721006,7,19.59653717,No,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave']",2118
underweight,male,pescatarian,less frequently,coal,walk/bicycle,,often,286,frequently,14,small,7,11.04900181,32,3.928197236,Yes,['Metal'],"['Stove', 'Oven', 'Grill', 'Airfryer']",2382
overweight,male,pescatarian,daily,wood,private,petrol,often,158,very frequently,4622,large,2,19.50822406,47,18.56855764,Yes,['Metal'],[],5271
normal,male,pescatarian,more frequently,wood,public,,often,298,very frequently,283,small,2,20.2757212,5,8.900341703,No,['Metal'],"['Stove', 'Grill', 'Airfryer']",2523
overweight,female,pescatarian,more frequently,natural gas,private,hybrid,often,149,very frequently,2464,extra large,3,10.7732485,15,15.04756708,Yes,['Glass'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2994
underweight,female,omnivore,less frequently,natural gas,private,diesel,sometimes,222,frequently,3765,extra large,5,10.79236801,32,1.037114009,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2801
overweight,female,omnivore,twice a day,coal,public,,never,138,rarely,1561,medium,4,7.407859198,45,16.0772491,No,['Glass'],"['Oven', 'Grill', 'Airfryer']",2155
overweight,male,omnivore,less frequently,coal,walk/bicycle,,often,57,rarely,63,small,4,4.087635704,12,23.62005345,No,"['Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1700
underweight,male,omnivore,twice a day,natural gas,public,,sometimes,90,very frequently,179,small,2,18.32986309,27,7.612230443,No,[],"['Grill', 'Airfryer']",2424
obese,female,pescatarian,less frequently,electricity,private,petrol,often,91,very frequently,7354,large,7,22.38349669,22,4.550564234,Sometimes,"['Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",5672
obese,male,vegan,less frequently,electricity,public,,sometimes,58,very frequently,263,extra large,3,23.93400332,25,11.77946337,Yes,"['Paper', 'Glass', 'Metal']",['Stove'],2775
underweight,female,omnivore,more frequently,coal,public,,never,101,frequently,1379,medium,4,1.137728512,15,14.16478439,Sometimes,"['Paper', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",1625
normal,male,vegan,less frequently,coal,private,lpg,never,121,rarely,2795,large,1,3.468500823,33,15.04090871,No,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave']",2165
obese,female,vegetarian,more frequently,wood,walk/bicycle,,often,213,very frequently,25,large,3,8.514400757,16,5.026445111,Sometimes,['Plastic'],"['Microwave', 'Grill', 'Airfryer']",2795
underweight,male,pescatarian,more frequently,electricity,public,,sometimes,116,never,793,medium,4,2.749802238,17,5.542992461,No,"['Paper', 'Glass', 'Metal']",['Microwave'],838
obese,male,vegetarian,twice a day,natural gas,walk/bicycle,,often,186,frequently,58,extra large,2,11.69067268,27,5.560464349,Sometimes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave']",2526
overweight,female,vegetarian,more frequently,coal,public,,often,121,very frequently,419,small,5,5.277049783,12,17.11830758,Sometimes,['Plastic'],"['Grill', 'Airfryer']",2727
overweight,male,omnivore,twice a day,natural gas,private,petrol,never,197,very frequently,7164,large,3,1.267461526,0,18.279888,Sometimes,['Plastic'],"['Oven', 'Microwave']",5733
normal,male,pescatarian,less frequently,wood,private,petrol,often,80,rarely,3566,large,2,13.26457764,46,18.66486077,Sometimes,[],"['Stove', 'Oven', 'Microwave']",3229
underweight,female,vegan,less frequently,wood,walk/bicycle,,never,84,frequently,95,extra large,2,0.922012651,41,1.342901269,No,"['Plastic', 'Glass']",[],1625
underweight,male,vegan,less frequently,coal,private,lpg,never,203,rarely,5047,medium,3,4.827051181,36,18.82598598,No,['Plastic'],['Microwave'],3011
underweight,male,pescatarian,daily,electricity,public,,sometimes,193,rarely,419,small,7,22.21817057,5,4.424047225,Yes,['Metal'],"['Stove', 'Oven']",1045
normal,female,vegetarian,less frequently,wood,walk/bicycle,,often,199,frequently,87,extra large,7,3.02239256,34,5.715160315,Sometimes,"['Paper', 'Metal']","['Oven', 'Microwave']",2268
underweight,female,pescatarian,daily,wood,public,,often,55,very frequently,862,small,3,2.620495685,21,18.5476088,No,"['Glass', 'Metal']",['Microwave'],1971
obese,male,pescatarian,daily,electricity,public,,never,177,rarely,1311,large,3,21.3539425,18,20.34428894,Yes,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave']",1384
underweight,female,vegan,less frequently,electricity,walk/bicycle,,sometimes,52,very frequently,51,large,6,21.54765402,3,8.231818076,Yes,"['Glass', 'Metal']","['Oven', 'Microwave']",1736
normal,male,omnivore,twice a day,wood,private,diesel,never,298,never,1936,medium,1,3.635100248,38,17.49509315,No,['Glass'],"['Oven', 'Grill', 'Airfryer']",2150
underweight,female,vegan,twice a day,natural gas,private,lpg,never,217,very frequently,7014,extra large,7,6.611113322,28,20.9504935,Yes,"['Paper', 'Plastic', 'Metal']",[],3950
normal,female,omnivore,twice a day,coal,public,,often,274,frequently,645,extra large,4,3.176158392,18,10.40076709,No,['Paper'],['Oven'],2429
overweight,female,vegan,less frequently,coal,public,,often,79,very frequently,1600,small,1,2.699880698,28,23.41139439,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",2482
obese,male,pescatarian,more frequently,electricity,public,,never,257,very frequently,808,medium,5,5.714763097,40,1.860040394,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3275
overweight,female,pescatarian,more frequently,natural gas,public,,never,244,frequently,488,medium,7,4.223604002,10,8.311527819,Sometimes,"['Paper', 'Glass', 'Metal']",[],1656
overweight,male,vegetarian,less frequently,natural gas,walk/bicycle,,sometimes,243,frequently,48,large,6,1.976295497,38,15.18340038,Yes,"['Paper', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2488
obese,male,vegetarian,more frequently,electricity,private,electric,often,288,rarely,7203,small,5,2.543457611,8,13.18157405,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1218
underweight,female,pescatarian,twice a day,natural gas,private,diesel,often,98,rarely,4048,medium,1,22.46447192,19,16.98119695,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",1775
obese,male,vegetarian,more frequently,wood,walk/bicycle,,never,197,rarely,36,large,2,14.30508984,18,17.00929319,No,"['Paper', 'Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",1389
obese,female,vegetarian,less frequently,coal,private,hybrid,never,76,never,2672,medium,4,11.07751821,15,2.226346457,No,['Glass'],[],1773
overweight,male,pescatarian,more frequently,coal,private,petrol,sometimes,79,rarely,7907,large,6,14.18764582,43,17.40319095,Yes,"['Paper', 'Plastic', 'Glass']",[],5629
normal,female,pescatarian,less frequently,electricity,public,,often,129,very frequently,595,large,2,6.660613108,39,5.671074633,No,['Metal'],['Oven'],2309
normal,female,vegetarian,more frequently,coal,private,diesel,sometimes,164,very frequently,6423,medium,4,17.32876642,26,23.055452,Yes,['Paper'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",3814
overweight,male,pescatarian,twice a day,natural gas,public,,often,281,very frequently,863,small,1,16.67592518,44,6.589856231,Sometimes,['Metal'],"['Stove', 'Microwave']",3183
underweight,male,vegetarian,daily,electricity,walk/bicycle,,never,258,rarely,29,small,2,13.87611997,22,12.82159468,Yes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",974
underweight,female,vegan,twice a day,natural gas,private,petrol,often,226,rarely,2027,extra large,5,19.60168298,17,19.69702769,Sometimes,"['Paper', 'Plastic']","['Stove', 'Grill', 'Airfryer']",2117
obese,female,vegan,daily,wood,private,electric,sometimes,139,rarely,1372,large,2,7.9244769,6,15.52590202,Yes,"['Plastic', 'Glass']","['Oven', 'Microwave']",1131
normal,male,pescatarian,twice a day,electricity,public,,sometimes,233,rarely,1888,small,3,22.09207482,9,19.29293846,No,['Metal'],"['Stove', 'Grill', 'Airfryer']",1174
underweight,female,vegetarian,twice a day,wood,walk/bicycle,,often,146,never,43,small,5,5.264690238,32,11.581134,Yes,[],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1290
obese,female,vegetarian,more frequently,wood,private,diesel,never,69,never,829,small,7,15.40305858,36,21.02308381,Sometimes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave']",1406
overweight,male,omnivore,daily,coal,walk/bicycle,,often,272,never,60,medium,5,2.080673014,24,3.324910698,No,['Glass'],"['Oven', 'Microwave']",2246
overweight,female,omnivore,more frequently,natural gas,public,,never,270,frequently,504,large,5,6.295982764,19,10.55849005,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",2106
obese,female,vegetarian,twice a day,electricity,public,,sometimes,201,frequently,944,large,3,22.02405061,45,5.482857891,Sometimes,['Paper'],"['Stove', 'Microwave']",2109
normal,female,vegan,less frequently,coal,public,,sometimes,190,rarely,562,small,7,1.210857432,48,19.07245275,No,"['Paper', 'Metal']","['Grill', 'Airfryer']",1706
overweight,female,pescatarian,more frequently,natural gas,walk/bicycle,,sometimes,128,rarely,47,extra large,7,4.387780519,24,8.99500739,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2255
overweight,female,vegan,daily,coal,private,electric,sometimes,278,very frequently,2193,small,5,7.294377034,37,20.26086807,Yes,['Metal'],"['Stove', 'Oven', 'Grill', 'Airfryer']",2750
overweight,male,omnivore,twice a day,natural gas,public,,often,166,never,1170,small,7,10.18535661,34,10.68114117,Sometimes,"['Paper', 'Glass']","['Oven', 'Microwave']",1732
obese,female,vegan,daily,electricity,walk/bicycle,,sometimes,236,rarely,32,large,7,19.36731888,38,0.714575003,No,"['Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1943
normal,female,pescatarian,twice a day,coal,private,lpg,never,82,never,610,extra large,2,6.814354646,14,14.19333025,No,"['Plastic', 'Glass', 'Metal']",['Microwave'],1121
normal,female,vegetarian,twice a day,coal,private,hybrid,often,95,frequently,191,medium,1,15.75815706,23,23.28108879,Yes,"['Paper', 'Glass', 'Metal']",['Stove'],1471
underweight,male,vegetarian,less frequently,electricity,public,,never,216,rarely,135,extra large,5,2.525922815,47,5.852762194,No,['Glass'],"['Stove', 'Oven', 'Grill', 'Airfryer']",2031
overweight,female,pescatarian,less frequently,coal,private,diesel,never,129,frequently,7355,small,7,7.931595513,15,9.188802327,Yes,['Paper'],"['Stove', 'Oven', 'Microwave']",3602
underweight,female,pescatarian,twice a day,wood,public,,often,94,frequently,560,medium,2,14.55115271,29,6.513725236,Sometimes,['Plastic'],"['Oven', 'Grill', 'Airfryer']",1676
normal,female,omnivore,twice a day,natural gas,private,hybrid,sometimes,107,frequently,1929,extra large,4,14.61607611,36,12.72559949,Yes,"['Paper', 'Plastic']","['Stove', 'Grill', 'Airfryer']",2098
underweight,male,vegetarian,more frequently,natural gas,walk/bicycle,,often,169,rarely,44,large,5,13.36093539,35,12.53109924,No,"['Paper', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1948
overweight,female,vegan,daily,wood,private,diesel,often,205,rarely,9423,large,6,23.75268432,30,11.50684419,Yes,"['Paper', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",4220
obese,male,vegetarian,less frequently,electricity,walk/bicycle,,never,123,frequently,60,medium,5,22.3577336,27,3.308168507,Yes,"['Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']",1955
obese,male,vegetarian,daily,wood,public,,sometimes,279,frequently,537,medium,3,7.860544837,3,0.794772604,Sometimes,['Glass'],"['Stove', 'Oven']",2128
obese,male,vegan,daily,natural gas,public,,never,272,very frequently,483,large,1,22.6651685,40,2.008848503,No,"['Paper', 'Plastic', 'Glass', 'Metal']",['Stove'],2699
normal,female,omnivore,more frequently,wood,public,,never,258,very frequently,1802,medium,1,8.048269247,37,10.683747,No,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",2546
overweight,male,pescatarian,more frequently,natural gas,private,petrol,never,141,never,6329,medium,3,12.28676086,26,23.59737967,Sometimes,"['Paper', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",3618
underweight,male,vegan,twice a day,natural gas,public,,often,91,rarely,1702,extra large,3,20.94524806,8,4.150210668,No,['Metal'],"['Grill', 'Airfryer']",1576
overweight,female,vegetarian,twice a day,coal,private,lpg,sometimes,296,rarely,5812,extra large,4,7.398540068,25,17.17235465,Yes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3715
underweight,male,vegan,more frequently,electricity,walk/bicycle,,often,57,rarely,49,extra large,1,16.21892667,47,22.90111763,Sometimes,['Metal'],"['Microwave', 'Grill', 'Airfryer']",1457
underweight,male,vegan,twice a day,electricity,public,,never,270,frequently,1050,medium,7,14.59190555,18,19.82715291,Sometimes,['Plastic'],"['Stove', 'Oven']",1657
obese,male,omnivore,more frequently,natural gas,private,diesel,often,120,rarely,8233,large,3,0.878595021,15,5.369549085,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",4294
obese,male,pescatarian,more frequently,coal,public,,never,74,never,139,small,1,12.64586915,15,9.019732977,No,"['Plastic', 'Glass', 'Metal']",[],1138
underweight,female,vegan,less frequently,wood,private,petrol,never,219,very frequently,304,large,7,20.74739002,2,9.136767677,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",2157
normal,male,omnivore,twice a day,natural gas,private,petrol,sometimes,255,rarely,3884,large,2,8.982418392,36,1.417720193,No,"['Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",3314
overweight,male,omnivore,twice a day,natural gas,public,,often,154,never,716,medium,3,1.476510299,40,7.054268298,Yes,"['Paper', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",1663
normal,male,vegetarian,less frequently,natural gas,private,hybrid,never,141,very frequently,7309,medium,4,1.771801037,50,11.05915532,No,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",4150
normal,male,vegetarian,less frequently,wood,private,electric,often,68,rarely,5970,small,1,5.917396939,35,8.194258492,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1061
obese,female,omnivore,less frequently,natural gas,private,electric,never,242,frequently,7607,extra large,1,3.77454872,19,16.77157096,No,['Glass'],"['Stove', 'Oven']",2072
obese,male,omnivore,more frequently,coal,walk/bicycle,,often,272,rarely,19,extra large,7,12.3540171,2,1.028876329,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",2856
underweight,female,vegan,more frequently,wood,walk/bicycle,,never,285,rarely,21,large,6,16.64875467,35,8.147665188,Yes,['Glass'],"['Stove', 'Oven']",1699
normal,male,vegan,less frequently,wood,private,petrol,never,108,frequently,741,medium,6,8.995689341,7,3.302250195,No,"['Paper', 'Glass', 'Metal']",[],1671
obese,female,vegan,less frequently,natural gas,public,,never,262,never,931,medium,1,16.43026022,12,1.476125401,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",825
overweight,female,pescatarian,daily,wood,private,lpg,never,100,never,9426,small,6,4.391915757,9,3.290613536,Sometimes,"['Plastic', 'Metal']","['Stove', 'Oven']",3330
overweight,female,vegan,twice a day,wood,walk/bicycle,,never,255,frequently,69,small,1,9.650914317,10,16.43663619,Yes,"['Plastic', 'Metal']",['Oven'],1276
